fy,gftfp,gfrpt,gfrpri,gfrcp,gfrs,gfcexp,gfsubs,gfintpmt,yptmr,yptmd
2017,2060,1582,133,407,1269,4217,60,492,702.3,374.7
2018,2142,1613,144,294,1325,4423,66,543,707.1,383.2
2019,2265,1701,132,293,1372,4723,66,629,775.6,401.4
2020,2392,1787,154,316,1435,4966,65,738,829.6,416.9
2021,2535,1851,160,342,1497,5251,65,839,893.2,436.6
2022,2690,1939,165,372,1567,5556,66,926,996.4,464.6
2023,2849,2039,171,408,1640,5846,66,999,1032,493.2
2024,3015,2143,175,427,1714,6130,67,1052,1061.8,523.6
2025,3188,2256,179,443,1791,6421,69,1099,1181.1,554.4
2026,3371,2505,184,478,1870,6737,70,1159,1267.1,586.6
2027,3551,2733,186,510,1950,7052,72,1220,1357.8,620.3
2028,3764,2850,186,530,2035,7410,73,1285,1520.7,654.6
